Search_Keyword_for_Job,URL,Position,Company,job_loc,salary_range,job_type,job_desc,DATE,DEG,DOMAIN,EMAIL,EXP,HARD SKILLS,LOC,ORG,PER,PHONE,PROJECT,ROLE,SOFT SKILLS,UNI
Machine Learning Engineer,https://indeed.com/viewjob?jk=5f70a4434de29b05,Machine Learning Engineer (Open to US REMOTE),Cargill,Remote,"$110,000 - $134,000 a year",,"Want to build a stronger, more sustainable future and cultivate your career? Join Cargill's global team of 160,000 employees who are committed to safe, responsible and sustainable ways to nourish the world. This position is in Cargill’s food ingredients and bio-industrial business, where we anticipate trends around taste, nutrition and safety to innovate and provide solutions to manufacturers, retailers and foodservice companies. Job Purpose and Impact  The Senior Machine Learning Engineer will work collaboratively in multidisciplinary teams to develop complex proof of concepts, minimum viable products and fully deployable solutions. In this role, you will create predictive and optimization models, conceptualize and develop a pipeline of new projects that help deliver significant value to the businesses and functions. Strategic Pricing Center of Excellence is a central team that works with Cargill’s various Food Ingredients and Bio-industrial (FIBI) businesses. Our mandate is to elevate Strategic Pricing capabilities and practices for FIBI businesses. As part of this, we aim to develop a range of Machine Learning (ML) products leveraging Cargill’s vast data supply that will transform the way we do pricing and associated functions. To accomplish this, we are looking to hire a ML Engineer who will build scalable ML systems for our predictive models. As a ML Engineer within the Strategic Pricing Center of Excellence, you will work with pricing and other commercial teams, IT, and data scientists to build ML models and systems that enable value-based pricing across Cargill. You will work on exciting projects in multidisciplinary, cross-cultural and collaborative teams. Key Accountabilities  Work with multidisciplinary teams of data engineers, software engineers, data scientists and business subject matter experts to deliver complex projects on time and within budget Take ownership for key components of data science workflow including model deployment, and monitoring Develop scalable ML systems and support inference, monitoring, retraining and data pipeline development Transfer machine learning solutions from R&D to Testing to Production Build readable, maintainable, and testable code, using standard coding methodologies, and propose, design, and develop the ML systems at scale Monitor platform health, performance, and business impact by creating dashboards Maintain multiple models in production and build resilient model monitoring system Continuously evolve AI/ML craft by keeping up to date with the latest developments in AI/ ML Support Science Capability Lead in realizing the product vision, technical feasibility studies and product management. Qualifications Minimum Qualifications Bachelor's degree in data science, computer science, math, engineering or related field OR equivalent experience, Confirmed ability to present to non-technical audiences 3+ years of work experience solving business problems with the application of Machine Learning Strong python programming skills Knowledge in python packages for data analysis (scikit-learn, scipy, numpy, pandas, matplotlib) Experience in a minimum of two machine learning algorithms approaches: unsupervised, supervised and reinforcement learning Understanding of MLOPS life cycle experience with MLOPS workflows traceability, versioning of datasets Minimum of four years of related work experience Preferred Qualifications Master's degree or PhD in data science, computer science, math, engineering or related field Strong data visualization skills Strong SQL skills Experience working with continuous integration and delivery (CI/CD) pipelines Experience working with Hadoop and other distributed computing frameworks Experience working with AWS Experience in software development environment and code management or versioning Experience in agriculture #LI-AL1 #LI-REMOTE Compensation Information  The expected salary for this position is $110,000- $134,000 with a 10% annual target bonus. Compensation varies depending on a wide array of factors including but not limited to the specific location, certifications, education, and level of experience. The disclosed range estimate may be adjusted for any applicable geographic differential associated with the location at which the position may be filled. This position is eligible for a discretionary incentive award. The incentive award amount is dependent upon company performance and your personal performance. At Cargill we put people first. As part of your overall rewards, we offer a comprehensive benefit program including medical and/or other benefits dependent on the position offered and hours worked. Visit: https://www.cargill.com/page/my-health/mh-health-and-wellness to learn more (subject to certain collective bargaining agreements for Union positions) Equal Opportunity Employer, including Disability/Vet  Equal Opportunity Employer, including Disability/Vet",,"Bachelor's degree in data science, computer science, math, engineering, Master's degree or PhD in data science, computer science, math, engineering","Machine Learning (ML), ML, IT, data scientists, ML, data science, ML, machine learning, ML, AI, ML, ML, Machine Learning, data analysis, machine learning, data visualization",,"3+ years, four years","monitoring, R&D, Testing, python, python, scikit-learn, scipy, numpy, pandas, matplotlib, unsupervised, supervised, reinforcement learning, MLOPS, MLOPS, SQL, continuous integration and delivery (CI/CD), Hadoop, AWS",,"Cargill, Cargill",,,,"Senior Machine Learning Engineer, ML Engineer, ML Engineer, data engineers, software engineers, data scientists",,
Machine Learning Engineer,https://indeed.com/viewjob?jk=9d975a0d7b7f14fa,AI/Machine Learning Engineer,PayPal,Remote,Estimated $119K - $150K a year,Full-time,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.Job Description Summary: What you need to know about the role: We are currently seeking an experienced AI/ML engineer who will collaborate closely with cross-functional teams to develop and deploy AI/ML-powered features and tools that optimize employee experiences and drive business outcomes. As part of our team, you'll work with cutting-edge AI/ML technologies and be at the forefront of the latest advancements in the field. Meet our team: At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.Job Description: Your way to impact: As an AI/ML engineer, you will be responsible for designing, developing, and deploying machine learning models and AI applications that solve complex business problems. Your day to day: In your day to day, you will: What do you need to bring:Our Benefits: At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you. We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com Who We Are: To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspx PayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com. As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.",,,"AI, ML, AI, ML, AI, machine learning models, AI",paypalglobaltalentacquisition@paypal.com,20 years,"PYPL, PayPal",,"PayPal, PayPal, PayPal",,,,AI/ML engineer,designing,
Machine Learning Engineer,https://indeed.com/viewjob?jk=85dedc14b5b84c71,"Senior Software Engineer I, Machine Learning",Etsy,Remote,"$164,000 - $192,000 a year",Full-time,    ,,,,,,,,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=247e94f9a28c544f,Machine Learning Engineer (Remote),Curai,Remote,"$150,000 - $200,000 a year",Full-time,"  Our mission at Curai is to make high-quality healthcare accessible to all. We are fulfilling this audacious mission by building a scalable virtual-first primary care service that provides patients with high-quality care anytime, anywhere, from any device, at a very affordable price, by blending high-touch clinical care and artificial intelligence.    Our company is remote-first and we consider candidates across the United States.       We are looking for a Senior ML Engineer to join the machine learning team at Curai. Our team is responsible for Curai’s ML/automation technology and drives the strategy: ML as part of the physician care team will drastically reduce the cost and increase the efficiency of providers. Your work will have a tremendous direct impact on both provider and patient-facing ML-augmented applications, thereby providing low-friction, high-quality care to patients of Curai Health.    We are primarily a text-based service and NLP is at the core of our ML work. With recent advances in large language models, we are seeing a tremendous acceleration in capabilities. A non-trivial part of our work involves appropriately leveraging and building on top of these models thoughtfully (and with scaffolding) to our use cases and backing them up with a sound automated evaluation. In addition, we use the in-house deidentified data as robust feedback data for continuously improving the ML models.    We are excellent collaborators, within our team and across teams with product owners, engineers, and clinicians to deliver automated products for doctors and patients. A successful candidate will own and help engineer end-to-end, AI/ML-powered automated systems in service of better health outcomes at lower costs.       None of these individually are hard requirements, but they do describe the type of folks that we think would be most effective and happy at Curai. You…       Enable rapid and rigorous scientific innovation by a multidisciplinary team of Curai clinicians, engineers, and researchers, through platform, tools, and documentation.             Mission driven talent with great colleagues committed to embodying our values, collaborating closely, and driving performance    Unlimited PTO, flexible working hours, and remote working options   Excellent medical, dental, vision, flex spending plans, and paid parental leave   401k plan with employer matching    Curai Health is a startup with a small, but world-class team from high tech companies, AI researchers, practicing physicians, to team members from non-traditional career paths and backgrounds. We also have research partnerships with leading universities across the country and access to medical data that facilitates research in this space. We are a highly collaborative, data-driven team, focused on delivering our mission with funding from top-tier Silicon Valley investors including Morningside, General Catalyst, and Khosla Ventures.    At Curai Health, we are highly committed to building a diverse and inclusive environment. In keeping with our beliefs and values, no employee or applicant will face discrimination or harassment based on race, color, ancestry, national origin, religion, age, gender, marital domestic partner status, sexual orientation, gender identity, disability status, or veteran status. To promote an equitable and bias-free workplace, we set competitive compensation packages for each position. We are looking for teammates that are mission-driven, embody our core values, and appreciate our transparent approach. ",,,"artificial intelligence, machine learning, ML, ML, NLP, ML, ML, AI, ML",,,ML/automation technology,United States,"Curai, Curai, Curai, Curai Health, Morningside, General Catalyst, Khosla Ventures, Curai Health",,,,"Senior ML Engineer, AI researchers, practicing physicians","Mission driven talent, great colleagues committed to embodying our values, collaborating closely, driving performance, highly collaborative, data-driven, mission-driven, embody our core values",
Machine Learning Engineer,https://indeed.com/viewjob?jk=52df6484f50c0eb6,Machine Learning Engineer,EX2 Outcoding,,Estimated $108K - $136K a year,Full-time," We seek a Machine Learning (ML) Engineer to help us create artificial intelligence products. Machine Learning Engineer responsibilities include creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming. We want to meet you if you know data science and software engineering. Your ultimate goal will be to shape and build efficient self-learning applications.  EX² Outcoding is a premier solution provider of a broad range of outsourcing services, combining proven expertise in technology and project execution for companies searching for high-quality software development solutions. We specialize in delivering the best technical solution and enhancing that solution creatively by working closely with stakeholders to understand the business context. #LI-REMOTE",,,"artificial intelligence, machine learning, data science, software engineering",,,"statistics, programming",,EX² Outcoding,,,,"Machine Learning (ML) Engineer, Machine Learning Engineer",,
Machine Learning Engineer,https://indeed.com/viewjob?jk=0284a755569afe41,Machine Learning Engineer,Pryon Incorporated,,"$130,000 - $160,000 a year",Full-time," Welcome to Pryon, an Artificial Intelligence (AI) company focused on Augmented Intelligence for the enterprise. It is a place for people who want to define the state of the art: real AI, developed by real pioneers, solving real problems of consequence. Our company was built by some of the most well-known experts in the field, whose DNA lives on in Alexa, Siri, Watson, and virtually every other AI product on the market. But the best part of the story is still to come: We’re creating a world-class culture fueled by intellectual curiosity and radical technology — to reduce the distance between knowledge and people. Our proprietary, cutting-edge natural language processing capabilities transform unstructured data into meaningful experiences that increase productivity with unmatched accuracy and speed. We seek to hire a Machine Learning Engineer with a focus on Information Retrieval to our AI Engineering team. Pryon is an equal-opportunity employer and values diversity. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability. The salary range for this opportunity is $130,000 - $160,000 annually. Actual salaries may vary depending on factors including, but not limited to, location and experience. The salary range listed is just one component of Pryon's compensation package. 9EOXHZycnX",,,"Artificial Intelligence (AI), Augmented Intelligence, AI, AI, natural language processing, AI",,,"Alexa, Siri, Watson",,"Pryon, Pryon",,,,Machine Learning Engineer,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=ebf0717bc2cd31ae,Machine Learning Engineer,MIT,,Estimated $91.8K - $116K a year,Full-time,,,,,,,,,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=3b71bc0d2087eaac,Machine Learning Engineer,Eightfold.AI,,"$121,000 - $163,000 a year",,"     The AI / Machine Learning team is building the industry's leading Machine Learning models for use cases at scale. This team is also responsible for pushing the boundaries of applied Machine Learning on a challenging and diverse dataset.                  The information below is provided for candidates hired in California location.    In California, the standard base pay range for this role is USD $121,000 - $163,000 annually.      In addition to a competitive base salary, this position is also eligible for equity awards, benefits and discretionary bonuses. A candidate’s salary is determined by various factors including, but not limited to, experience, skills, and geographic location within the state. ",,,"AI, Machine Learning, Machine Learning, Machine Learning",,,,"California, California",,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=b11462c1394610ae,"Machine Learning Engineer, Industry Solutions Engineering",Microsoft,,"$133,600 - $256,800 a year",Full-time," The  (ISE) team is a global engineering organization that works directly with customers looking to leverage the latest technologies to address their toughest challenges. We work closely with our customers’ engineers to jointly develop code for cloud-based solutions that can accelerate their organization. We work in collaboration with Microsoft product teams, partners, and open-source communities to empower our customers to do more with the cloud. We pride ourselves in making contributions to open source and making our platforms easier to use. We develop solutions side-by-side with our customers through collaborative innovation to solve their challenges. This work involves the development of broadly applicable, high-impact solution patterns and open-source software assets that contribute to the Microsoft platform. In this role, you will be working with engineers from your team and our customers’ teams to apply your skills, perspectives, and creativity to grow as engineers and help solve our customers’ toughest challenges. ISE is part of the Microsoft Industry Solutions organization and is a global organization of over 16,000 strategic sellers, industry experts, elite engineers, and world-class architects, consultants, and delivery experts who work together to bring Microsoft’s mission of empowerment – and cutting-edge technology - to life for the world’s most influential customers. We are on the front lines of innovation, working side-by-side with customers to drive value across the entirety of their digital transformation journey. Our team prides itself on embracing a growth mindset, inspiring excellence, and encouraging everyone to share their unique viewpoints and be their authentic selves. Join us and help create life-changing innovations that impact billions around the world! We invest in your health, wellness, and financial future by offering a competitive package including a wide range of benefits built around your personal needs and those close to you.",,,,,,,,"Microsoft, Microsoft Industry Solutions organization",,,,consultants,"creativity, inspiring excellence",
Machine Learning Engineer,https://indeed.com/viewjob?jk=334e08bad0664645,Machine Learning Engineer,Autodesk,,"$114,800 - $198,000 a year",Full-time,"      Position Overview    As a Machine Learning Engineer at Autodesk Research, you will be working side-by-side with world-class researchers and engineers doing fundamental and applied research that will help our customers imagine, design, and make a better world.    You are a software engineer who is passionate about solving problems and building things. You are excited to collaborate with our Research Scientists to perform experiments and implement state-of-the-art generative AI algorithms. You are a good communicator, comfortable serving as a translator and straddling the gap between research & development.    The location of this role is flexible. We are a global team, located in London, San Francisco, Toronto, and remotely. Autodesk is a flexible hybrid-first company, allowing workers to work remotely, in an office, or a mix of both.    Responsibilities    Minimum Qualifications    Preferred Qualifications    The Ideal Candidate    #LI-JK1    Click below to learn more about our benefits in the US.       At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.    Are you an existing contractor or consultant with Autodesk? Please search for open jobs and apply internally (not on this external site). If you have any questions or require support, contact   . ",,,AI,,,,"London, San Francisco, Toronto, and remotely, US","Autodesk Research, Autodesk, Autodesk, Autodesk, Autodesk",,,,"Machine Learning Engineer, software engineer, Research Scientists, contractor, consultant","passionate about solving problems and building things, good communicator",
