search_keyword_for_job,job_title,job_url,company,location,job_type,salary,posted_on,job_qualification,job_description,department,roles
Data Engineer,Azure Data Engineer,https://www.simplyhired.com/search?q=Data Engineer&l=united+states&t=1&job=tkI55HPm6TLoYtAUAFzJBhVtX5oejf5U-6dFSfeei4LGCjjgApqMnA, highbrow-tech LLC," North Chicago, IL", Full-time, $65 - $70 an hour,2023-11-02,"['7 years', 'Azure', '6 years', 'SQL']","['Role: Azure Data Engineer', 'New skill set required for GRS modularization and cloud migration: Expertise in Azure cloud, middle tier, back-end, SQL/Synapse', 'Chicago IL', 'Job Type: Full-time', 'Salary: $65.00 - $70.00 per hour', 'Expected hours: 50 per week', 'Benefits:', '401(k)', 'Dental insurance', 'Health insurance', 'Vision insurance', 'Compensation package:', 'Monthly bonus', 'Quarterly bonus', 'Signing bonus', 'Yearly bonus', 'Experience level:', '6 years', '7 years', 'Schedule:', '8 hour shift', 'Monday to Friday', 'Willingness to travel:', '100% (Required)', 'Work Location: Hybrid remote in North Chicago, IL 60064']",Data Engineering,Data Engineer
Data Engineer,Sr. Data Engineer,https://www.simplyhired.com/search?q=Data Engineer&l=united+states&t=1&job=_N8B0oj9RuT3snL5eoMu_x6tXlFRlZMYnxwyjrbYZWyWIG5gEDBiDA, Amaze systems, Remote, Contract, From $60 an hour,2023-11-02,"['Elasticsearch', '6 years', 'Data structures', 'Spark', 'R', 'Java', 'SQL', 'Data analytics', '9 years', 'Communication skills', 'Data warehouse', 'Python', 'Analytics', 'Hadoop']","['Job Title - Data Engineer', 'Remote Position', 'Job Details:', 'Excellent communication skills.', 'Sound Python and SQL coding skills.', 'Good understanding of data structures.', 'Experience with data and analytics technology like Hadoop, Spark, Java, Python, R, ElasticSearch etc.', 'Job Type: Contract', 'Salary: From $60.00 per hour', 'Experience level:', '9 years', 'Experience:', 'Data analytics: 10 years (Required)', 'Data structures: 6 years (Required)', 'Data warehouse: 1 year (Preferred)', 'Work Location: Remote']",Data Engineering,Data Engineer
Data Engineer,Data Engineer,https://www.simplyhired.com/search?q=Data Engineer&l=united+states&t=1&job=zxZVZQ85XSXaMgjA-g8jTl3z3tfLAjhUUp-V3ZHKDWGAzq-JwjOOZg, iOLAP," Frisco, TX", Full-time, Estimated: $106K - $134K a year,2023-11-02,"['Cloud infrastructure', 'Azure', 'Data lake', 'Azure Data Lake', 'DevOps', 'SQL', 'Agile', 'Unit testing', 'Python', 'SDLC']","['Do you like building data systems and pipelines? Do you enjoy interpreting trends and patterns? Are you able to recognize the', 'deeper meaning of data', '?', '', 'Join iOLAP, an Elixirr Company, as a', 'Data Engineer', 'and help us analyze and organize raw data to provide valuable business insights to our clients and stakeholders!', '', 'As', 'Data Engineer', ', you will be responsible to ensure the availability and quality of the data so that it becomes usable by target data users. You will be working on a set of operations aimed at creating processes and mechanisms for the flow and access of data in accordance with the project scope and deadlines!', '', 'Discover the opportunity to join our', 'Data & Analytics', 'department and work closely with a group of like-minded individuals with cutting-edge technologies!', 'What you will be doing as a Data Engineer at iOLAP?', 'Working closely with Data Architects on Azure architecture designs', 'Maintaining and building data ecosystems by working on the implementation of data ingestions, often in collaboration with other data engineers, analysts, DevOps, and data scientists', 'Ensuring the security of cloud infrastructure and processes by implementing best practices', 'Applying modern principles and methodologies to advance business initiatives and capabilities', 'Identifying and consulting on ways to improve data processing, reliability, efficiency, and quality, as well as solution cost and performance', 'Preparing test cases and strategies for unit testing, system, and integration testing', 'We build with:', 'Competencies and skillset we expect you to have to successfully perform your job:', 'Strong', 'Python', 'knowledge', 'Strong', 'SQL', 'knowledge', 'Previous working experience with the', 'Azure', 'data stack (Azure Data Factory, Azure Data Lake)', 'Bonus points if you have:', 'Experience with software development lifecycle methodologies, including Agile methodologies', 'We could be a perfect fit if you are:', 'Wonder why iOLAP is the best place to work?', 'Intrigued? Apply now!']",Data Engineering,Data Engineer
Data Engineer,Azure Data Engineer,https://www.simplyhired.com/search?q=Data Engineer&l=united+states&t=1&job=ONBxH91Bt50JNbPAaEHvbDRY080BURRpMP1tsBNZ4XeIwu9sgIhlzg, Violetink LLC," Hudson, TX", Contract, $55 - $60 an hour,2023-11-02,"['CI/CD', 'Power BI', 'Azure', 'Data lake', 'Azure Data Lake', 'DevOps', '11+ years', 'SSRS', 'SQL', 'SSIS', 'Python']","['Top Priority Req.!!', 'Data Engineer', 'Huston, TX C2C', 'Key Area panel are looking onto.:', 'Azure CI/CD Devops pipeline work', 'Skills:', 'ADF', 'Azure Data Lake', 'Data bricks', 'Python', 'Power BI', 'SQL', 'SSIS', 'SSRS', 'SSAS', 'Job Type: Contract', 'Salary: $55.00 - $60.00 per hour', 'Experience level:', '11+ years', 'Work Location: On the road']",Data Engineering,Data Engineer
Data Engineer,Lead Data Engineer,https://www.simplyhired.com/search?q=Data Engineer&l=united+states&t=1&job=bdFb4vSGB4BH2NNiwe9o1m55mkqv9XSdAC_S8YNiRfcrnaHgaj5WEw, AgileEngine - 4.8 , Remote, Full-time | Contract, Estimated: $135K - $171K a year,2023-11-02,"['Asset management', 'Performance tuning', 'Wealth management', 'Business intelligence', 'Bamboo', 'Kubernetes', 'Git', 'Google Cloud Platform', 'Analysis skills', 'Docker', 'ETL', 'Financial services', 'Apache', 'Data warehouse', 'Python']","['$2000 Sign-in Bonus', 'Must haves', 'Data Warehousing and Dimensional Data Modeling on Snowflake;', 'ETL is the core but working knowledge of Python. Cloud data integration services with ETL Knowledge;', 'Worked with Google Cloud Platform (Composer, Google Cloud Storage, Big Query);', 'Experience with Apache Airflow;', 'Experience with Docker and Kubernetes;', 'Working financial services experience: asset management and wealth management business knowledge, for example: investment life cycle, knowledge of financial products, and compliance;', 'Experience in functional analysis, architecture, design, development, and management of dimensional data models;', 'Analytical Reporting, Business Intelligence, and Data Warehouse;', 'Testing Experience (e.g. Pytest);', 'Experience with BitBucket and Git Bamboo;', 'Experience with Snowpipe, SnowSQL, and Working Experience on Performance Tuning, Cluster Keys, Warehouse, and Including.', 'Nice to haves', 'For data modeling: Erwin Data Modeler.', 'The benefits of joining us', 'Professional growth', 'Accelerate your professional journey with mentorship, TechTalks, and personalized growth roadmaps', 'Competitive compensation', 'We match your ever-growing skills, talent, and contributions with competitive USD-based compensation and budgets for education, fitness, and team activities', 'A selection of exciting projects', 'Join projects with modern solutions development and top-tier clients that include Fortune 500 enterprises and leading product brands', 'Flextime', 'Tailor your schedule for an optimal work-life balance, by having the options of working from home and going to the office – whatever makes you the happiest and most productive.', 'Job Types: Full-time, Contract', 'Work Location: Remote']",Data Engineering,Data Engineer
Data Engineer,Data Engineer,https://www.simplyhired.com/search?q=Data Engineer&l=united+states&t=1&job=-jPXtdikFXgKyVA7M49tcgFPbl2Q0rIozOJUhwEX8rttRX201WxFaQ, Mind Mint," Scottsdale, AZ", Full-time," $100,000 - $120,000 a year",2023-11-02,"['5 years', 'SQL', 'Database design', ""Bachelor's degree"", 'Scripting', 'APIs', 'Communication skills', 'Python', 'MySQL']","['JOIN AN AMAZING COMPANY AND GLOBALLY RECOGNIZED BRAND', '', 'DIVE INTO INTRIGUING PROJECTS AND LEVEL UP YOUR SKILLS', '', 'WORK WITH A FUN TEAM ONSITE IN SCOTTSDALE ARIZONA', 'Are you ready to embark on an', 'exciting challenge in the field of data engineering', '?', 'Do you possess a genuine passion for unraveling patterns and', 'crafting insightful solutions', 'through data engineering?', 'Can you envision yourself', 'delivering impactful outcomes', ""that align with our company's objectives through data-driven solutions?"", 'If so, we have an opportunity that will ignite your enthusiasm for data engineering and propel your career to new heights.', 'Mastermind.com, created in partnership by Dean Graziosi and Tony Robbins, is the #1 online platform for people who are looking to market and monetize their knowledge base. Mastermind has a worldwide following and touches lives all over the world.', 'We are seeking a world-class', 'Data Engineer', 'to join our IT team. Here is your chance to help take our company to new heights.', 'THE ROLE', '️ Build tools and solutions that automate complex workflows', '️ Create data pipelines and maintain the infrastructure and architecture for data generation, storage, and processing', 'Build systems that collect, manage, and convert raw data into usable information', 'This is a role that involves solving complex technical issues and working collaboratively with our team. You will report directly to the', 'Chief Technology Officer', '.', 'Our interview process will include a', 'technical assessment', 'and peer code review to assess your technical proficiency.', '', 'This Data Engineer position is based in Phoenix, Arizona, and will require you to work from the Mastermind headquarters in Scottsdale, AZ.', 'We provide an excellent compensation model based on experience ranging from', '$100k-120k.', 'This opportunity is', 'only available for USA residents', 'with valid work authorization.', 'We DO NOT offer sponsorship or relocation.', 'REQUIREMENTS', '', '', 'You must have 5 years experience in designing and maintaining MySQL', '', 'You must have experience with cloud data warehouses (preferably BigQuery), dbt, or Python experience', '', 'You must have SQL development experience', '', 'You must have experience with spreadsheet manipulation in SQL', '', 'You must be able to write custom queries to answer any question about the data without leaving a SQL environment.', '', 'You must have experience querying and manipulating large datasets', '', 'Bachelor’s degree in a technical field or equivalent related work experience', '', 'Ability to utilize Fivetran and Stitch for extracting and loading data into BigQuery', '', 'Strong understanding of database design', '', 'Experience with Web APIs and pulling data from them, preferably in Python, is a plus', '', 'Excellent problem-solving and communication skills', '', 'Experience querying and manipulating large datasets', '', 'Experience with data parsing, scripting, and automation', 'RESPONSIBILITIES', '', '', 'Design and create database objects, such as tables, stored procedures, and views.', '', 'Conduct technical research and data profiling on various data sources, utilizing technologies like Python, APIs, and SQL.', '', 'Innovatively propose technical data solutions to address business challenges.', '', 'Perform dimensional data modeling and optimize database objects for accessibility, performance, and consistency.', '', 'Collaborate with business stakeholders to gather and understand data requirements.', '', 'Communicate data concepts, reports, KPIs, and other technical subjects in a business-friendly language.', '', 'Develop ETL applications using SQL, Python, etc., for data extraction, transformation, and loading.', '', 'Document development standards, KPI calculations, business terms, table diagrams, and other relevant information related to data and reports.', '', 'Keep up-to-date with emerging technologies and trends in data engineering', '', 'Perform other duties as assigned.', 'PERKS & BENEFITS', 'Competitive salary and compensation', '', 'Excellent Medical benefits', '', 'EOY Profit Sharing', '', '401(k) administration and matching program', '', 'Incredible opportunities for growth and development', '', 'Amazing in-office culture', '', 'Become part of a mission-team making a difference!', 'HOW TO APPLY', 'Ready to dive into the fascinating realm of data engineering and take your skills to new heights as a', 'Data Engineer', '?', ""If so, we invite you to join our exceptional team, where you'll have the opportunity to unleash the power of data, shape the future of data-driven decision-making, and embark on a fulfilling career journey."", 'Click the', '""Apply Now', '"" button below to take the first step toward an exciting future.', '', ""We can't wait to review your application and explore the endless possibilities of working together."", 'About Mastermind.com', '', 'Mastermind.com, created in partnership by Dean Graziosi and Tony Robbins, is the #1 online platform for people who are looking to market and monetize their knowledge base. We are redefining what ""Self-Education"" means to the world.', 'Mastermind is not just ""another software"" but an all-in-one platform for Education, Entertainment, Implementation & Community. Mastermind serves people worldwide who seek transformation, fulfillment, and success outside the traditional education path.', 'The Mastermind software empowers and enables you to implement what you learn & actually get paid, in addition providing a community where you are surrounded by like-minded individuals cheering you on to YOUR NEXT LEVEL.']",Data Engineering,Data Engineer
Data Engineer,Senior Data Engineer,https://www.simplyhired.com/search?q=Data Engineer&l=united+states&t=1&job=_q55mN6T2WglVnQZ876iFwuSDLocTZY9cfL92R8M3O9FWaucB6bXGw, AgileEngine - 4.8 , Remote, Full-time | Contract, Estimated: $117K - $149K a year,2023-11-02,"['Elasticsearch', '6 years', 'Bamboo', 'Spark', 'AWS', 'PostgreSQL', 'Scala', 'Terraform', 'ETL', 'DynamoDB', 'Quantitative research', 'Python', 'MySQL']","['What you will do', 'Designing, implementing, and maintaining ETL pipelines;', 'Implement the best practices of Data Ops;', 'Hands-on coding;', 'Identify and resolve data quality issues.', 'Must haves', 'Strong experience with Python and MySQL;', 'Working experience with Airflow;', 'Experience with Postgres;', 'General working knowledge with AWS;', 'Strong experience with ETL pipelines;', 'Statistical and Mathematical experience.', 'Nice to haves', 'AWS ETL Migration experience;', 'Quantitative Research & Stats knowledge;', 'Experience with Scala and Spark;', 'Worked with DynamoDB, BItbucket, and Bamboo;', 'Knowledge of Map-reduce, OpenSearch, and Elastic Search;', 'Terraform;', 'Financial Background.', 'The benefits of joining us', 'Professional growth', 'Accelerate your professional journey with mentorship, TechTalks, and personalized growth roadmaps', 'Competitive compensation', 'We match your ever-growing skills, talent, and contributions with competitive USD-based compensation and budgets for education, fitness, and team activities', 'A selection of exciting projects', 'Join projects with modern solutions development and top-tier clients that include Fortune 500 enterprises and leading product brands', 'Flextime', 'Tailor your schedule for an optimal work-life balance, by having the options of working from home and going to the office – whatever makes you the happiest and most productive.', 'Job Types: Full-time, Contract', 'Experience level:', '6 years', 'Work Location: Remote']",Data Engineering,Data Engineer
Data Engineer,Data Engineer,https://www.simplyhired.com/search?q=Data Engineer&l=united+states&t=1&job=qSlOeAe13N5k7rxm0lJatOw5zDp0mH6DuLl5eha5W6jZg-Wwd_swrg, Wheels Up - 3.6 , United States, Full-time," $120,000 - $160,000 a year",2023-11-02,"['Performance tuning', 'Azure', 'Data lake', 'Big data', 'DevOps', 'Data structures', 'MapReduce', 'Spark', 'NumPy', 'AWS Certification', 'Git', 'Google Cloud Platform', '3 years', ""Master's degree"", 'SQL', 'Pandas', 'AWS', ""Bachelor's degree"", 'Distributed systems', 'Terraform', 'GitHub', 'ETL', 'Communication skills', 'Python', 'Hadoop']","['Overview:', 'Who We Are', '', 'We make the extraordinary, accessible, every day.', 'Wheels Up (NYSE: UP), a world leader in private aviation, offers a total private aviation solution that includes world-class safety, service, and flexibility through on-demand flights, membership programs, corporate solutions, aircraft management, whole aircraft sales, and a strategic partnership with Delta Air Lines. We offer a challenging and rewarding career in an exciting and growing industry. This is a chance to join a team of some of the best aviation professionals in the industry, committed to unparalleled safety and service for our clients, in a range of sectors from military to ultra-high-net-worth individuals.', 'Role Overview', 'Wheels Up Partners is a wholly owned subsidiary of Wheels Up. Its services include Private Membership, Aircraft Management, Maintenance, FBO services, Charter Operations, and Aircraft sales. We offer a challenging and rewarding career in an exciting and dynamic industry. This is a chance to join a team which has an incredible depth of knowledge as well as the drive to deliver service excellence to our clients across a wide variety of sectors from the military to ultra -high-net-worth individuals.', 'Wheels Up is looking for a world-class Data Engineer in US-remote to join our team of dedicated and passionate professionals, fueled by the most powerful brand in private aviation, as we continue our mission of democratizing the private aviation space through cutting-edge technology and innovative product and service offerings.', 'Responsibilities:', 'The Data Platform team at Wheels Up is creating a data platform to enable everyone in the organization to make data-driven decisions. We are seeking a data engineer to support building a secure, performant and cost-effective data platform which serves as “single source of truth“.', 'Data Engineering at Wheels Up is a role that requires building systems to process data efficiently and modeling the data to power analytics. These solutions can range from batch data pipelines that bring to life business metrics to real-time processing services that integrate with our core product features. In addition, we require our Data Engineers to have a rich understanding of large distributed systems on which our data solutions rely. Candidates should have knowledge across several of these skill sets and usually need to be deep in at least one. As a Data Engineer, you also need to have strong communication skills since you will need to collaborate with business, engineering, and data science teams to enable a culture of learning.', 'Qualifications:', 'Minimum Qualifications', '3+ years of hands-on experience in data engineering', 'Thorough understanding of big data principles, techniques, and best practices', 'Bachelors or Master degree (or equivalent) in Computer Science, Engineering or a related field', 'Proficient in Python (Including popular python packages e.g. Pandas, NumPy etc.) and SQL', 'Strong background in distributed data processing and storage (e.g. Hadoop, MapReduce, Spark)', 'Large scale (TBs of data) data engineering skills - Model data, create production ready ETL pipelines', 'Development experience with at least one cloud (Azure high preference, AWS, GCP)', 'Knowledge of data lake and data lake house patterns', 'Knowledge of ETL performance tuning and cost optimization', 'Knowledge of data structures and algorithms and good software engineering practices', 'Strong communication skills to articulate complex situation concisely', 'Comfortable with picking up new technologies independently', 'Eye for detail, good data intuition, and a passion for data quality', 'Comfortable working in a rapidly changing environment with ambiguous requirements', 'Nice to Haves', 'Experience with Azure Databricks', 'Knowledge of DevOps - ETL pipeline orchestration', 'Tools: GitHub actions, Terraform, Databricks workflows, Azure DevOps', 'Certifications: Databricks, Azure, AWS, GCP highly preferred', 'Knowledge of code version control (e.g. Git)', 'Wheels Up Story:', 'What’s In It For You', 'Get to work with most cutting edge technologies and modern data stack', 'Be part of a world class engineering team where each member is an owner and a leader', 'Get to solve data problems at scale in a fast paced environment', 'New learning and development opportunities', 'At Wheels Up, you will help make the extraordinary possible. Our culture is rooted in a shared dedication to living our', '5x5 Values', '-', 'Safety, Trust, Accountability, Belonging and Innovation', '- the core of who we are and what we celebrate. At Wheels Up, our people are our success. Exploring a career at Wheels Up gives you a chance earn amazing compensation and benefits, helping you and your family have the type of balance you deserve in both your career, and life away from work:', 'Competitive salary', '401(k) with generous company contributions up to 6%', 'Paid time off including vacation, holidays, paid personal time, maternity and parental leave', 'Comprehensive health benefits including medical, dental, vision, short/long term disability and life benefits', 'Family care assistance through fertility support, surrogacy and adoption assistance, lactation support, subsidized back-up care, and programs that help with loved ones in all stages', 'Total Personal Well-being programs to support physical, emotional, social, and financial health, including access to an employee assistance program offering support for you and anyone in your household, free financial coaching, and extensive resources supporting mental health', 'Career development programs to achieve your long-term career goals', 'Salary Range', 'The wage range for this position ($120,000 – $160,000 base salary) is determined on a variety of factors that are considered in making compensation decisions, such as differences in skill sets; experience and training; licensure and certifications; and other business and organizational needs. This wage range has not been adjusted for any applicable geographic differential associated with where the position may be filled. At Wheels Up, it is not typical for an individual to be hired at or near the top of the range for their role. Your placement within the wage range is primarily based on your qualifications and experience.', 'You may also be eligible to participate in a discretionary annual incentive program, whereby an award, if any, depends on various factors, including, without limitation, individual and organizational performance.', 'What You Will Bring', 'An unwavering commitment to', 'SAFETY', 'The ability to build', 'TRUST', 'through transparency and communication', 'A commitment to achieving results the right way and a willingness to take', 'ACCOUNTABILITY', 'when we do not', 'The knowledge that there is power in bringing people with different points of view and life experiences together and a culture of', 'BELONGING', 'leads to unlimited and unrestricted collaboration', 'A belief that', 'INNOVATION', 'is only possible in an environment where we make things simpler, strive for continuous improvement and understand that great thinking can come from anywhere in our organization', 'A willingness to be curious, constantly asking questions to help promote creative thinking, problem solving and trouble shooting', 'A desire to collaborate and be part of a diverse team and when necessary, lean into and manage conflict effectively', 'A high level of integrity in everything you do', 'A strong commitment to service and a meticulous attention to detail', 'A level of professionalism unmatched in the aviation industry', 'Commitment to Diversity', 'At Wheels Up our 5x5 Value of Belonging is based on the principle that every employee has a voice. We believe in inclusiveness, and celebrate each person’s individuality, because there is power in bringing people with different points of view and life experiences together. We are launching DEIB initiatives that support ALL employees and help to cultivate a culture where ALL employees can bring their authentic selves to work.', 'Accommodation for Applicants with Disabilities', 'Wheels Up is an Equal Employment Opportunity / Affirmative Action employer and provides reasonable accommodation in its application process for qualified individuals with disabilities and disabled veterans. If you have difficulty using our online system due to a disability and need an accommodation, you may email us at hr@wheelsup.com or alternatively send a fax to 859-334-6552. In order to quickly respond to your request, please use the words ""Accommodation Request"" as the subject line of your email or as the title of your fax document.']",Data Engineering,Data Engineer
Data Engineer,Data Engineer II,https://www.simplyhired.com/search?q=Data Engineer&l=united+states&t=1&job=pj1-dntAsKR-jDC0QOL0FrrYr8rq7wUYeohUkV-v5pRD4uop2SbjxA, Vibrant Emotional Health - 2.8 , Remote,," $92,000 - $105,800 a year",2023-11-02,"['R', 'Data governance', ""Master's degree"", 'SQL', ""Bachelor's degree"", 'APIs', 'S3', '1 year', 'AI', 'Python', 'High availability', 'Analytics']","['Position Title: Data Engineer II', '', 'Salary Range: $92,000-$105,800*', '', 'Department: Information Technology', '', 'Reports to: Manager, Data Engineering', '', 'Location: Remote', '', 'Schedule: M-F, 9-5 ET', '', 'New hires are typically brought into the organization between the minimum to midpoint of the salary range posted depending on qualifications, internal equity, and the budgeted amount for the role.', '', 'Formerly the Mental Health Association of New York City (MHA-NYC), Vibrant Emotional Health’s groundbreaking solutions have delivered high quality services and support, when, where and how people need it for over 50 years. Through our state-of-the-art technology-enabled services, community wellness programs, and advocacy and education work, we are building a society in which emotional wellness can be a reality for everyone.', '', 'Position Summary:', '', 'The Data Engineer II is responsible for the development of data pipelines, the orchestration and planning of data transformations and the development and support of data automations. This role interfaces with the Analytics and Research team around the design of data points, measures, and the implementation of models; with Data Governance roles around the alignment of policy and definitions with their implementation; and with Dev Ops, Security and Software Development teams around the broader organization’s use of data infrastructure.', '', 'Duties/Responsibilities:', '', 'Develop patterns for data ingestion using Fivetran, AWS Lambda, and related technologies.', '', 'Orchestrate data transformations using DBT, database functions, materialized views and similar patterns.', '', 'Write tests, integrity checks, conduct performance monitoring and tuning of data systems.', '', 'Write anomaly detection routines to support alerting and monitoring.', '', 'Design and develop secure, high performance, API’s to support data requests.', '', 'Establish patterns for automation of forecasts, scoring, and support of ML/AI implementations.', '', 'Establish patterns for publishing and distributing data sets.', '', 'Establish and maintain archiving and retention schedules.', '', 'Ensure data systems conform with data governance and data security best practices.', '', '', 'Required Skills/Abilities:', '', 'Extensive experience building and supporting data infrastructure.', '', 'Direct experience working with Snowflake, DBT and Fivetran.', '', 'Strong experience with AWS services such as Data Migration Services, RDS, Lambda, API Gateway, S3, etc.', '', 'Expert knowledge of SQL / PSQL.', '', 'Ability to code in Python and R (additional languages a +)', '', 'Strong track record of managing high availability systems.', '', 'Initiative to solve complex problems; takes an outside in perspective to identify innovative solutions.', '', 'We value candidates who have demonstrated commitment to the goal of working with people to achieve mental and emotional wellbeing with dignity and respect.', '', '', 'Required Qualifications:', '', 'Bachelors’ or Masters’ Degree in an analytics or engineering focused discipline or equivalent experience and knowledge.', '', '1+ years of data engineering experience developing and maintaining high availability systems.', '', '', 'Excellent comprehensive benefits, including medical, dental, vision, supplemental income insurance, pre-tax transit/parking, pre-tax FSA for medical and dependent care, and 401K available. 4 weeks’ vacation, plum benefits, etc.', '', '', 'Studies have shown that women and people of color are less likely to apply for jobs unless they believe they are able to perform every task in the job description. We are most interested in finding the best candidate for the job, and that candidate may be one who come from a less traditional background. Vibrant will consider any equivalent combination of knowledge, skills, education and experience to meet minimum qualifications. If you are interested in applying, we encourage you to think broadly about your background and skill set for the role.', '', 'Vibrant Emotional Health is an equal opportunity employer. Applicants are considered for positions without regard to veteran status, uniformed service member status, race, creed, color, religion, gender, gender identity, sex, sexual orientation, citizenship status, national origin, marital status, age, physical or mental disability, genetic information, caregiver status or any other category protected by applicable federal, state or local laws.', '', '""Please be aware that fictitious job openings, consulting engagements, solicitations, or employment offers may be circulated on the Internet in an attempt to obtain privileged information, or to induce you to pay a fee for services related to recruitment or training. Vibrant does NOT charge any application, processing, or training fee at any stage of the recruitment or hiring process. All genuine job openings will be posted on our careers page and all communications from the Vibrant recruiting team and/or hiring managers will be from an @vibrant.org email address""']",Data Engineering,Data Engineer
Data Engineer,Specialist Test Data Systems Engineer,https://www.simplyhired.com/search?q=Data Engineer&l=united+states&t=1&job=WlNuiP8gkJyEcHQ2-JM2KAMlnIGoB42xfjybc6ttHoK4l-T20Hgu5w, L3Harris Technologies - 3.9 ," Culpeper, VA",, Estimated: $104K - $132K a year,2023-11-02,[],"['We are seeking a', 'Specialist, Test Data Systems Engineer', 'to join the team at our', 'Culpeper, VA', 'site.', 'Reporting directly to the', 'Manager, Test Engineering', ', this position will focus on designing and implementing data acquisition and controls systems while working in a test operations environment supporting production and development rocket motor and air-breathing propulsion test programs. This position would be for 1st shift. 7:00 am to 5:00 pm 9/80 schedule.', 'This opening may be filled at this level as posted or at one level higher.']",Data Engineering,Data Engineer
